log_bundle_id,log_bundle_size,total_time_taken,event_name
523.0,3740.0,00:01:16,Parsing
523.0,3740.0,00:00:07,Caching
523.0,3740.0,00:00:03,Dashboard Processing
523.0,3740.0,00:00:06,Panacea 1 Processing
523.0,3740.0,00:00:05,Log Anomaly Processing
523.0,3740.0,00:00:01,LLM Summary Processing
523.0,3740.0,00:01:56,Total Time
523.0,3740.0,00:00:09,Extracting
523.0,3740.0,00:00:07,Downloading
523.0,3740.0,00:01:10,Logs Parsing
523.0,3740.0,00:01:16,Metrics Parsing
582.0,212.0,00:00:06,Downloading
582.0,212.0,00:00:02,Extracting
582.0,212.0,00:00:00,Metrics Parsing
582.0,212.0,00:00:37,Logs Parsing
582.0,212.0,00:00:38,Parsing
582.0,212.0,00:00:04,Caching
582.0,212.0,00:00:03,Dashboard Processing
582.0,212.0,00:01:02,Total Time
582.0,212.0,00:00:03,LLM Summary Processing
582.0,212.0,00:00:03,Log Anomaly Processing
582.0,212.0,00:00:03,Panacea 1 Processing
584.0,29726.0,00:13:43,Total Time
584.0,29726.0,00:00:02,LLM Summary Processing
584.0,29726.0,00:00:05,Log Anomaly Processing
584.0,29726.0,00:00:03,Panacea 1 Processing
584.0,29726.0,00:00:07,Dashboard Processing
584.0,29726.0,00:00:42,Caching
584.0,29726.0,00:11:55,Parsing
584.0,29726.0,00:11:53,Logs Parsing
584.0,29726.0,00:02:17,Metrics Parsing
584.0,29726.0,00:00:39,Extracting
584.0,29726.0,00:00:09,Downloading
585.0,1399.0,00:00:05,Downloading
585.0,1399.0,00:00:04,Extracting
585.0,1399.0,00:00:00,Metrics Parsing
585.0,1399.0,00:01:11,Logs Parsing
585.0,1399.0,00:01:13,Parsing
585.0,1399.0,00:00:06,Caching
585.0,1399.0,00:00:03,Dashboard Processing
585.0,1399.0,00:00:03,Panacea 1 Processing
585.0,1399.0,00:00:03,Log Anomaly Processing
585.0,1399.0,00:00:01,LLM Summary Processing
585.0,1399.0,00:01:40,Total Time
589.0,27248.0,00:00:10,Downloading
589.0,27248.0,00:00:35,Extracting
589.0,27248.0,00:03:52,Logs Parsing
589.0,27248.0,00:04:20,Metrics Parsing
589.0,27248.0,00:04:23,Parsing
589.0,27248.0,00:00:15,Caching
589.0,27248.0,00:00:08,Dashboard Processing
589.0,27248.0,00:00:03,Panacea 1 Processing
589.0,27248.0,00:00:04,Log Anomaly Processing
589.0,27248.0,00:00:02,LLM Summary Processing
589.0,27248.0,00:05:41,Total Time
590.0,37.0,00:00:02,Downloading
590.0,37.0,00:00:00,Extracting
590.0,37.0,00:00:00,Metrics Parsing
590.0,37.0,00:00:07,Logs Parsing
590.0,37.0,00:00:09,Parsing
590.0,37.0,00:00:04,Caching
590.0,37.0,00:00:03,Dashboard Processing
590.0,37.0,00:00:02,Panacea 1 Processing
590.0,37.0,00:00:04,Log Anomaly Processing
590.0,37.0,00:00:02,LLM Summary Processing
590.0,37.0,00:00:26,Total Time
591.0,7393.0,00:00:09,Downloading
591.0,7393.0,00:00:10,Extracting
591.0,7393.0,00:00:00,Metrics Parsing
591.0,7393.0,00:03:29,Logs Parsing
591.0,7393.0,00:03:31,Parsing
591.0,7393.0,00:00:08,Caching
591.0,7393.0,00:00:16,Dashboard Processing
591.0,7393.0,00:00:03,Panacea 1 Processing
591.0,7393.0,00:00:06,Log Anomaly Processing
591.0,7393.0,00:00:01,LLM Summary Processing
591.0,7393.0,00:04:25,Total Time
592.0,291.0,00:00:04,Downloading
592.0,291.0,00:00:03,Extracting
592.0,291.0,00:00:00,Metrics Parsing
592.0,291.0,00:00:45,Logs Parsing
592.0,291.0,00:00:46,Parsing
592.0,291.0,00:00:04,Caching
592.0,291.0,00:00:04,Dashboard Processing
592.0,291.0,00:00:02,Panacea 1 Processing
592.0,291.0,00:00:05,Log Anomaly Processing
592.0,291.0,00:00:01,LLM Summary Processing
592.0,291.0,00:01:10,Total Time
603.0,11907.0,00:00:00,Downloading
603.0,11907.0,00:01:41,Extracting
603.0,11907.0,00:06:05,Metrics Parsing
603.0,11907.0,00:14:39,Logs Parsing
603.0,11907.0,00:14:44,Parsing
603.0,11907.0,00:01:35,Caching
603.0,11907.0,00:00:15,Dashboard Processing
603.0,11907.0,00:00:03,Panacea 1 Processing
