log_bundle_id,log_bundle_size,total_time_taken,event_name,total_time_taken_seconds,status
66,32512,00:10:51,Downloading,651,extremely slow
66,32512,00:00:58,Extracting,58,slow
66,32512,00:08:40,Logs Parsing,520,slow
66,32512,00:09:48,Metrics Parsing,588,slow
66,32512,00:09:49,Parsing,589,expected
66,32512,00:00:10,Caching,10,expected
66,32512,00:00:04,Dashboard Processing,4,expected
66,32512,00:00:04,Panacea 1 Processing,4,slow
66,32512,00:00:33,Log Anomaly Processing,33,slow
66,32512,00:00:01,LLM Summary Processing,1,expected
66,32512,00:22:38,Total Time,1358,slow
68,36750,00:04:33,Downloading,273,slow
68,36750,00:01:07,Extracting,67,slow
68,36750,00:10:02,Logs Parsing,602,slow
68,36750,00:12:09,Metrics Parsing,729,slow
68,36750,00:12:10,Parsing,730,expected
68,36750,00:00:13,Caching,13,expected
68,36750,00:00:05,Dashboard Processing,5,expected
68,36750,00:00:03,Panacea 1 Processing,3,slow
68,36750,00:00:26,Log Anomaly Processing,26,slow
68,36750,00:00:01,LLM Summary Processing,1,expected
68,36750,00:18:46,Total Time,1126,expected
91,38143,00:00:14,Downloading,14,expected
91,38143,00:01:16,Extracting,76,slow
91,38143,00:17:21,Metrics Parsing,1041,slow
91,38143,00:18:09,Logs Parsing,1089,slow
91,38143,00:18:12,Parsing,1092,slow
91,38143,00:00:28,Caching,28,slow
91,38143,00:00:04,Dashboard Processing,4,expected
91,38143,00:00:03,Panacea 1 Processing,3,slow
91,38143,00:00:13,Log Anomaly Processing,13,expected
91,38143,00:12:08,LLM Summary Processing,728,slow
91,38143,00:32:41,Total Time,1961,slow
92,26291,00:00:09,Downloading,9,expected
92,26291,00:01:42,Extracting,102,extremely slow
92,26291,00:02:34,Metrics Parsing,154,expected
92,26291,00:03:35,Logs Parsing,215,expected
92,26291,00:03:36,Parsing,216,expected
92,26291,00:00:06,Caching,6,expected
92,26291,00:00:06,Dashboard Processing,6,expected
92,26291,00:00:03,Panacea 1 Processing,3,slow
92,26291,00:00:18,Log Anomaly Processing,18,slow
92,26291,00:09:23,LLM Summary Processing,563,slow
