log_bundle_id,log_bundle_size,total_time_taken,event_name
66,32512,00:10:51,Downloading
66,32512,00:00:58,Extracting
66,32512,00:08:40,Logs Parsing
66,32512,00:09:48,Metrics Parsing
66,32512,00:09:49,Parsing
66,32512,00:00:10,Caching
66,32512,00:00:04,Dashboard Processing
66,32512,00:00:04,Panacea 1 Processing
66,32512,00:00:33,Log Anomaly Processing
66,32512,00:00:01,LLM Summary Processing
66,32512,00:22:38,Total Time
68,36750,00:04:33,Downloading
68,36750,00:01:07,Extracting
68,36750,00:10:02,Logs Parsing
68,36750,00:12:09,Metrics Parsing
68,36750,00:12:10,Parsing
68,36750,00:00:13,Caching
68,36750,00:00:05,Dashboard Processing
68,36750,00:00:03,Panacea 1 Processing
68,36750,00:00:26,Log Anomaly Processing
68,36750,00:00:01,LLM Summary Processing
68,36750,00:18:46,Total Time
91,38143,00:00:14,Downloading
91,38143,00:01:16,Extracting
91,38143,00:17:21,Metrics Parsing
91,38143,00:18:09,Logs Parsing
91,38143,00:18:12,Parsing
91,38143,00:00:28,Caching
91,38143,00:00:04,Dashboard Processing
91,38143,00:00:03,Panacea 1 Processing
91,38143,00:00:13,Log Anomaly Processing
91,38143,00:12:08,LLM Summary Processing
91,38143,00:32:41,Total Time
92,26291,00:00:09,Downloading
92,26291,00:01:42,Extracting
92,26291,00:02:34,Metrics Parsing
92,26291,00:03:35,Logs Parsing
92,26291,00:03:36,Parsing
92,26291,00:00:06,Caching
92,26291,00:00:06,Dashboard Processing
92,26291,00:00:03,Panacea 1 Processing
92,26291,00:00:18,Log Anomaly Processing
92,26291,00:09:23,LLM Summary Processing
92,26291,00:15:27,Total Time
93,13206,00:00:11,Downloading
93,13206,00:00:49,Extracting
93,13206,00:01:34,Metrics Parsing
93,13206,00:33:37,Logs Parsing
93,13206,00:33:44,Parsing
93,13206,00:00:41,Caching
93,13206,00:00:12,Dashboard Processing
93,13206,00:00:02,Panacea 1 Processing
93,13206,00:00:24,Log Anomaly Processing
